ODB Name,Step,Frame,Part Instance Name, Element Label,         IntPt,X,Y,Z,Section Name,Material Name,Section Point,         S-S11,         S-S22,         S-S33,         S-S12,         S-S13,         S-S23
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Increment      0: Base State,"PART-1-1",            66,             1,  -3.96264E-03,  -50.4825E-03,       2.30156,"BARC-1_SET-1","ALUMINUM","",            0.,            0.,            0.,            0.,            0.,            0.
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Increment      0: Base State,"PART-1-1",           306,             1,   1.91829E-03,  -49.8475E-03,       2.30156,"BARC-1_SET-1","ALUMINUM","",            0.,            0.,            0.,            0.,            0.,            0.
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Increment      0: Base State,"PART-1-1",           366,             1,   9.75953E-03,  -49.8475E-03,       2.30156,"BARC-1_SET-1","ALUMINUM","",            0.,            0.,            0.,            0.,            0.,            0.
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Increment      0: Base State,"PART-1-1",           526,             1,   5.18547E-03,  -49.2125E-03,       2.30156,"BARC-1_SET-1","ALUMINUM","",            0.,            0.,            0.,            0.,            0.,            0.
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Increment      0: Base State,"PART-1-1",          1246,             1,  -2.65577E-03,  -46.6725E-03,       2.30156,"BARC-1_SET-1","ALUMINUM","",            0.,            0.,            0.,            0.,            0.,            0.
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Increment      0: Base State,"PART-1-1",          2066,             1,   2.57173E-03,  -44.1325E-03,       2.30156,"BARC-1_SET-1","ALUMINUM","",            0.,            0.,            0.,            0.,            0.,            0.
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Increment      0: Base State,"PART-1-1",          2321,             1,   10.4130E-03,  -43.4975E-03,       2.30156,"BARC-1_SET-1","ALUMINUM","",            0.,            0.,            0.,            0.,            0.,            0.
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Increment      0: Base State,"PART-1-1",          2796,             1,  -3.96264E-03,  -41.5925E-03,       2.30156,"BARC-1_SET-1","ALUMINUM","",            0.,            0.,            0.,            0.,            0.,            0.
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Increment      0: Base State,"PART-1-1",          2821,             1,  -695.459E-06,  -41.5925E-03,       2.30156,"BARC-1_SET-1","ALUMINUM","",            0.,            0.,            0.,            0.,            0.,            0.
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Increment      0: Base State,"PART-1-1",          2881,             1,   7.14579E-03,  -41.5925E-03,       2.30156,"BARC-1_SET-1","ALUMINUM","",            0.,            0.,            0.,            0.,            0.,            0.
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Increment      0: Base State,"PART-1-1",          3041,             1,   2.57173E-03,  -40.9575E-03,       2.30156,"BARC-1_SET-1","ALUMINUM","",            0.,            0.,            0.,            0.,            0.,            0.
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Increment      0: Base State,"PART-1-1",          4070,             1,  -12.3825E-03,  -50.4825E-03,       2.32443,"BARC-1_SET-1","ALUMINUM","",            0.,            0.,            0.,            0.,            0.,            0.
